GSM3272790	GSM3272781	GSM3272782	GSM3272789	GSM3272787	GSM3272779	GSM3272788	GSM3272780	geneIDs
0	0	0	0	1	0	0	0	ENSMUSG00000086064
13275	10633	10494	19600	6331	3723	4758	3009	ENSMUSG00000026112
3774	1950	2408	10387	3128	904	1408	1075	ENSMUSG00000026111
2553	3076	2120	5066	1444	1141	972	594	ENSMUSG00000026110
2714	94	66	7256	1906	20	912	9	ENSMUSG00000026090
13	0	0	20	6	0	3	0	ENSMUSG00000089767
0	2	0	0	1	0	0	0	ENSMUSG00000104365
1897	351	413	5489	1187	189	720	139	ENSMUSG00000060771
330	333	335	601	208	123	157	95	ENSMUSG00000037216
1499	299	294	3028	860	192	524	116	ENSMUSG00000026088
3464	3685	3890	6186	1967	1171	1280	1024	ENSMUSG00000026087
2	0	0	0	0	0	0	0	ENSMUSG00000061584
4741	3153	5357	12402	4022	1232	1632	1779	ENSMUSG00000058407
24106	10036	10350	41195	12373	3682	8577	3088	ENSMUSG00000026083
798	504	372	1915	498	281	285	180	ENSMUSG00000026082
3578	84	23	1072	334	10	1319	6	ENSMUSG00000037138
0	0	0	0	0	2	0	0	ENSMUSG00000103531
49	40	22	72	22	8	22	4	ENSMUSG00000048814
356	36	28	206	114	8	114	6	ENSMUSG00000026080
5864	2124	2940	15011	4187	976	1888	953	ENSMUSG00000026078
1	0	0	0	0	0	0	0	ENSMUSG00000098833
907	324	116	1868	370	105	340	34	ENSMUSG00000026077
6356	2543	3690	18503	5403	795	2358	851	ENSMUSG00000073702
3108	390	195	8823	1275	154	1014	71	ENSMUSG00000003134
2788	2626	3192	8461	2713	1022	989	1051	ENSMUSG00000003135
3	1	10	24	11	3	0	8	ENSMUSG00000077704
2317	3543	5188	5807	1860	1657	805	1633	ENSMUSG00000048234
72	103	86	110	50	16	27	34	ENSMUSG00000050967
4	0	2	13	2	0	4	0	ENSMUSG00000097083
11	0	0	24	6	0	2	0	ENSMUSG00000057173
0	0	0	0	0	0	0	0	ENSMUSG00000101634
13531	2292	1879	18808	5829	845	4979	527	ENSMUSG00000026074
0	0	0	0	0	0	0	0	ENSMUSG00000102985
175	22	24	602	135	4	59	4	ENSMUSG00000026073
4023	537	751	8986	2299	248	1453	254	ENSMUSG00000026072
926	72	135	2856	846	2	324	24	ENSMUSG00000070942
299	37	30	796	362	16	109	24	ENSMUSG00000026069
10340	64	88	22351	6519	45	3678	29	ENSMUSG00000026070
489	22	35	1062	422	30	204	11	ENSMUSG00000026068
249	165	181	578	183	68	88	41	ENSMUSG00000026065
377	4865	2672	1025	187	1561	104	587	ENSMUSG00000026062
95	627	200	291	76	206	54	45	ENSMUSG00000041945
300	107	76	318	168	20	119	8	ENSMUSG00000079588
10	660	559	4	4	297	0	167	ENSMUSG00000060424
2	0	1	0	0	0	0	0	ENSMUSG00000104199
34	10052	6272	104	18	4668	16	1885	ENSMUSG00000045515
0	66	110	2	0	142	0	27	ENSMUSG00000097063
0	0	2	0	0	4	0	2	ENSMUSG00000099784
2550	2049	1862	4163	1331	881	894	532	ENSMUSG00000060679
27	4	4	24	18	0	2	0	ENSMUSG00000041907
4974	4650	3521	10322	3486	1494	1719	1146	ENSMUSG00000070939
15	9	27	129	22	16	9	8	ENSMUSG00000041878
3070	868	1184	7497	2103	503	1123	454	ENSMUSG00000010290
413	745	889	960	353	269	144	135	ENSMUSG00000008136
2397	877	444	3205	910	463	847	161	ENSMUSG00000066877
93	46	45	168	53	34	40	8	ENSMUSG00000026051
2902	3236	2816	4587	1298	1739	1011	710	ENSMUSG00000057363
5358	2468	2854	10709	3269	1139	1823	1048	ENSMUSG00000041763
2	0	4	14	3	0	4	2	ENSMUSG00000047343
579	137	354	1534	441	103	189	163	ENSMUSG00000026049
898	444	331	2420	768	342	328	181	ENSMUSG00000026047
1533	1265	686	3329	860	554	523	187	ENSMUSG00000041684
2465	1014	1796	8225	2535	614	973	742	ENSMUSG00000026048
118	2	0	832	161	0	47	0	ENSMUSG00000046828
4	3	1	10	0	2	1	0	ENSMUSG00000101567
